Sample,IoU Score
1,0.8441391587257385
2,0.9531437754631042
3,0.5445547103881836
4,0.9258315563201904
5,0.9408549666404724
6,0.7336817979812622
7,0.941436767578125
8,0.7582213878631592
9,0.723158061504364
10,0.7416909337043762
11,0.583515465259552
12,0.8755713701248169
13,0.7974147796630859
14,0.8649533987045288
15,0.9485998153686523
16,0.3733982443809509
17,0.7813062071800232
18,0.9368379712104797
19,0.5507273077964783
20,0.9387547969818115
21,0.9164041876792908
22,0.851662278175354
23,0.6478325724601746
24,0.7500618696212769
25,0.6437475085258484
26,0.8719606995582581
27,0.8007312417030334
28,0.7683660387992859
29,0.9007710814476013
30,0.5914503335952759
31,0.6953438520431519
32,0.6281191110610962
33,0.680780827999115
34,0.9480003714561462
35,0.9504036903381348
36,0.5799923539161682
37,0.6147722005844116
38,0.6469714641571045
39,0.9505815505981445
40,0.944896936416626
41,0.8995439410209656
42,0.8028661012649536
43,0.8925008773803711
44,0.8828964829444885
45,0.9146996736526489
46,0.6885681748390198
47,0.8855052590370178
48,0.9548346400260925
49,0.6578144431114197
50,0.8175690770149231
51,0.5943097472190857
52,0.2370263636112213
53,0.05758250504732132
54,0.7759422659873962
55,0.7942292094230652
56,0.8339597582817078
57,0.6542664170265198
58,0.8622211813926697
59,0.6952219605445862
60,0.7614393830299377
61,0.9139363765716553
62,0.9392285943031311
63,0.9533713459968567
64,0.8850958943367004
65,0.9318963885307312
66,0.8063943982124329
67,0.8724415898323059
68,0.726223349571228
69,0.6924139261245728
70,0.7291659712791443
71,0.6094242334365845
72,0.8757951259613037
73,0.7815985083580017
74,0.9375708103179932
75,0.8708822727203369
76,0.8500897288322449
77,0.8158815503120422
78,0.8762421011924744
79,0.9682571291923523
80,0.8987026214599609
81,0.9228013157844543
82,0.5914465188980103
83,0.9140821099281311
84,0.8580398559570312
85,0.5564904808998108
86,0.8908196091651917
87,0.7855995297431946
88,0.9183570742607117
89,0.7260960936546326
90,0.8362382650375366
91,0.9116827249526978
92,1.420486228642659e-10
93,0.9442054033279419
94,0.9045746326446533
95,0.8090522289276123
96,0.9471065998077393
97,0.955133318901062
98,0.7421675324440002
99,0.9243975281715393
100,0.913691520690918
101,0.8209684491157532
102,0.9245482683181763
103,0.9298384189605713
104,0.9397184252738953
105,0.8179511427879333
106,0.9555118680000305
107,0.9102117419242859
108,0.6439789533615112
109,0.9140949249267578
110,0.44229358434677124
111,0.6116901636123657
112,0.8976797461509705
113,0.8864464163780212
114,0.8918012976646423
115,0.8177951574325562
116,0.7168476581573486
117,0.9476016163825989
118,0.919347882270813
119,0.396077424287796
120,0.7854191660881042
121,0.7590041756629944
122,0.8961179256439209
123,0.8201829791069031
124,0.6519767642021179
125,0.8972707390785217
126,0.8825702667236328
127,0.725557267665863
128,0.923633337020874
129,0.9034484624862671
130,0.9027404189109802
131,0.8186365365982056
132,0.9118058681488037
133,0.7424440979957581
134,0.49636510014533997
135,0.866865336894989
136,0.7512688636779785
137,0.9197337031364441
138,0.6028996706008911
139,0.8014141917228699
140,0.9171933531761169
141,0.8870184421539307
142,0.7334392070770264
143,0.6688949465751648
144,0.9373198747634888
145,0.6447675228118896
146,0.6506068706512451
147,0.833503246307373
148,0.4358014762401581
149,0.770481288433075
150,0.9169321060180664
151,0.38975101709365845
152,0.937506914138794
153,0.6630071401596069
154,0.7612603902816772
155,0.95125412940979
156,0.842636227607727
157,0.7088490724563599
158,0.8023526668548584
